league,fixtures,tip,odd,match_time,match_date,result,score
Scotland: Scottish Cup,Aberdeen vs Motherwell,AWAY DC,2.12,19:45 GMT,2026-02-18,Lost,2-0
England: National League South,Farnborough vs Dag and Red,AWAY DC,2.16,19:45 GMT,2026-02-18,?,?:?
Asia: Afc Champions League 2 - Play Offs,Al Ahli Doha vs Sepahan,AWAY DC,2.13,18:15 GMT,2026-02-18,?,?:?
Thailand: Thai League 2,Pattaya United vs Nakhon Pathom,HOME DC,2.12,11:00 GMT,2026-02-18,Won,1-1
South America: Copa Libertadores - Qualification,O'Higgins vs Bahia,AWAY DC,1.96,22:00 GMT,2026-02-18,Lost,1-0
Thailand: Thai League 2,Sisaket United vs Nong Bua Pitchaya,HOME DC,2.05,11:30 GMT,2026-02-18,Won,2-1
Azerbaijan: I Liqa,MOIK Baku vs Sabail,AWAY DC,1.99,10:30 GMT,2026-02-18,?,?:?
Europe: Uefa Europa Cup Women,Austria Vienna W vs Sparta Prague W,HOME DC,2.01,18:30 GMT,2026-02-18,?,?:?
Argentina: Reserve League - Apertura,Belgrano 2 vs Huracan 2,HOME DC,2.12,20:00 GMT,2026-02-18,Lost,0-2
Europe: Champions League - Play Offs,Club Brugge KV vs Atl. Madrid,AWAY DC,1.98,20:00 GMT,2026-02-18,Won,3-3
England: League Two,Grimsby vs Walsall,HOME DC,2.01,19:45 GMT,2026-02-18,Won,2-2
Brazil: Paraibano,Confianca PB vs Pombal,AWAY DC,2.08,18:00 GMT,2026-02-18,Lost,3-2
Spain: Laliga,Levante vs Villarreal,AWAY DC,1.91,19:00 GMT,2026-02-18,Won,0-1
